"gene_id","rank"
"ENSG00000282890.1",304
"ENSG00000179915.25",305
"ENSG00000231918.1",306
"ENSG00000228033.6",307
"ENSG00000214595.13",308
"ENSG00000115380.20",309
"ENSG00000226702.2",310
"ENSG00000285755.2",311
"ENSG00000233723.11",312
"ENSG00000271955.2",313
"ENSG00000286604.1",314
"ENSG00000285611.2",315
"ENSG00000119866.22",316
"ENSG00000228541.3",317
"ENSG00000226622.7",318
"ENSG00000197329.12",319
"ENSG00000288932.2",320
"ENSG00000204929.13",321
"ENSG00000143995.20",322
"ENSG00000232046.7",323
"ENSG00000235885.8",324
"ENSG00000236780.7",325
"ENSG00000289156.2",326
"ENSG00000115956.10",327
"ENSG00000163219.12",328
"ENSG00000169604.21",329
"ENSG00000196975.16",330
"ENSG00000163235.16",331
"ENSG00000152672.8",332
"ENSG00000135636.16",333
"ENSG00000065911.13",334
"ENSG00000159399.10",335
"ENSG00000270571.2",336
"ENSG00000176204.14",337
"ENSG00000186854.11",338
"ENSG00000034510.6",339
"ENSG00000115523.17",340
"ENSG00000068615.20",341
"ENSG00000291127.1",342
"ENSG00000240040.6",343
"ENSG00000211592.8",344
"ENSG00000232931.6",345
"ENSG00000174501.15",346
"ENSG00000226791.9",347
"ENSG00000196872.12",348
"ENSG00000144218.21",349
"ENSG00000196460.14",350
"ENSG00000115607.10",351
"ENSG00000170417.16",352
"ENSG00000224509.4",353
"ENSG00000071051.14",354
"ENSG00000144057.16",355
"ENSG00000198203.10",356
"ENSG00000172985.11",357
"ENSG00000169679.15",358
"ENSG00000172965.17",359
"ENSG00000153208.18",360
"ENSG00000234997.3",361
"ENSG00000234199.3",362
"ENSG00000175497.17",363
"ENSG00000019169.11",364
"ENSG00000080293.10",365
"ENSG00000163075.13",366
"ENSG00000074047.22",367
"ENSG00000115112.8",368
"ENSG00000286481.2",369
"ENSG00000136732.16",370
"ENSG00000136002.20",371
"ENSG00000183840.7",372
"ENSG00000176771.18",373
"ENSG00000152127.9",374
"ENSG00000152128.13",375
"ENSG00000076003.5",376
"ENSG00000144229.13",377
"ENSG00000228043.5",378
"ENSG00000168702.18",379
