"gene_id","avg_rank"
"ENSG00000169744",731.8
"ENSG00000197959",732.8
"ENSG00000230630",733.6
"ENSG00000286046",734.2
"ENSG00000224228",734.8
"ENSG00000145147",735.4
"ENSG00000224968",735.6
"ENSG00000185774",736.4
"ENSG00000248837",738.4
"ENSG00000250137",739.6
"ENSG00000091490",741.4
"ENSG00000121446",743.2
"ENSG00000169851",743.2
"ENSG00000250954",745.4
"ENSG00000058085",746.4
"ENSG00000250723",746.4
"ENSG00000197057",748
"ENSG00000174145",749.4
"ENSG00000116690",750.4
"ENSG00000121895",751
"ENSG00000150681",753.6
"ENSG00000168421",753.8
"ENSG00000116741",755.4
"ENSG00000074966",759.6
"ENSG00000134853",761.8
"ENSG00000163435",763.6
"ENSG00000163531",763.8
"ENSG00000109265",765
"ENSG00000163453",766.4
"ENSG00000150471",768.4
"ENSG00000136634",770.8
"ENSG00000143476",773.2
"ENSG00000123689",775.8
"ENSG00000283518",776.2
"ENSG00000156140",776.6
"ENSG00000169429",778.4
"ENSG00000163739",779.6
"ENSG00000117724",780.6
"ENSG00000092969",781
"ENSG00000116141",784.4
"ENSG00000138759",788
"ENSG00000138772",789
"ENSG00000287627",791.2
"ENSG00000145284",792.8
"ENSG00000145287",794.2
"ENSG00000138678",795.4
"ENSG00000143674",796.8
"ENSG00000135750",796.8
"ENSG00000138639",796.8
"ENSG00000109339",797.8
"ENSG00000163629",799.2
"ENSG00000152583",801.4
"ENSG00000180287",802.8
"ENSG00000185477",804.4
"ENSG00000251095",805.4
"ENSG00000145335",806.6
"ENSG00000138722",807.6
"ENSG00000162711",808.4
"ENSG00000184305",808.6
"ENSG00000138696",810.2
"ENSG00000236790",811.2
"ENSG00000182168",811.2
"ENSG00000151360",812
"ENSG00000214866",812.8
"ENSG00000168785",813.6
"ENSG00000134317",817.4
"ENSG00000115758",818.4
"ENSG00000070190",818.8
"ENSG00000170745",820
"ENSG00000164035",820
"ENSG00000153064",821.8
"ENSG00000248242",826.8
"ENSG00000138795",832.6
"ENSG00000188517",835.4
"ENSG00000232153",836.4
"ENSG00000226994",837.4
"ENSG00000170522",837.4
"ENSG00000145362",840.4
"ENSG00000180801",841.6
"ENSG00000282890",843.4
"ENSG00000164100",843.8
"ENSG00000172403",845
"ENSG00000250938",846.8
"ENSG00000228033",847.6
"ENSG00000138685",850
"ENSG00000164056",851
"ENSG00000249464",852
"ENSG00000226622",852.6
"ENSG00000169764",854.4
"ENSG00000286251",854.6
"ENSG00000250195",861.6
"ENSG00000170153",863.4
"ENSG00000248810",864.4
"ENSG00000163235",865
"ENSG00000109452",866.2
"ENSG00000135636",867
"ENSG00000159399",867.2
"ENSG00000249806",867.2
"ENSG00000270571",868.4
"ENSG00000068615",871
"ENSG00000164161",871
"ENSG00000115523",872.2
"ENSG00000151617",873.6
"ENSG00000071205",874.6
"ENSG00000287292",875.8
"ENSG00000232931",876.4
"ENSG00000174501",877.2
"ENSG00000170390",877.8
"ENSG00000164142",879
"ENSG00000115590",880.6
"ENSG00000137462",882
"ENSG00000115602",882.6
"ENSG00000115604",883.4
"ENSG00000115607",884.2
"ENSG00000071051",886.4
"ENSG00000286133",887.8
"ENSG00000286862",889.2
"ENSG00000172965",890
"ENSG00000280878",891.2
"ENSG00000153208",892
"ENSG00000125538",894
"ENSG00000136689",894.8
"ENSG00000145416",894.8
"ENSG00000038295",897.2
"ENSG00000163075",897.6
"ENSG00000129116",899
"ENSG00000183840",902.6
"ENSG00000164107",903
"ENSG00000152127",903.4
"ENSG00000237125",904
"ENSG00000152128",904.2
"ENSG00000150625",907.8
"ENSG00000150630",909.2
"ENSG00000218336",912.4
"ENSG00000173320",913.4
"ENSG00000230645",914.2
"ENSG00000187123",915
"ENSG00000182389",917.8
"ENSG00000083857",918
"ENSG00000112902",922
"ENSG00000153237",922.4
"ENSG00000123612",922.8
"ENSG00000164236",923.6
"ENSG00000169862",924.6
"ENSG00000224467",925
"ENSG00000248457",925.8
"ENSG00000153253",929.4
"ENSG00000183580",930
"ENSG00000145555",931.8
"ENSG00000176788",932.8
"ENSG00000248874",936.2
"ENSG00000091409",936.8
"ENSG00000113361",941
"ENSG00000155657",943.6
"ENSG00000151388",944
"ENSG00000168685",945.8
"ENSG00000164188",947
"ENSG00000079215",948
"ENSG00000274441",949
"ENSG00000164318",952
"ENSG00000144369",952.8
"ENSG00000113594",953
"ENSG00000244968",954
"ENSG00000082074",955.4
"ENSG00000115419",957
"ENSG00000112936",957.8
"ENSG00000182836",959
"ENSG00000225539",960.6
"ENSG00000112964",960.6
"ENSG00000286271",962.4
"ENSG00000272211",963
"ENSG00000112972",964
"ENSG00000164588",966.8
"ENSG00000170571",967.8
"ENSG00000151883",968.8
"ENSG00000138439",970.2
"ENSG00000164171",970.2
"ENSG00000185305",972.2
"ENSG00000118263",975
"ENSG00000223725",976.4
"ENSG00000152932",978
"ENSG00000113448",979.2
"ENSG00000115414",979.4
"ENSG00000035499",980.2
"ENSG00000229267",980.8
"ENSG00000030419",981.2
"ENSG00000164181",981.2
"ENSG00000049192",984
"ENSG00000018280",985.2
"ENSG00000123983",988.6
"ENSG00000131711",992.8
"ENSG00000169031",993.6
"ENSG00000178175",993.8
"ENSG00000171643",998.4
"ENSG00000145708",999.4
"ENSG00000145685",1001.2
"ENSG00000145687",1006
"ENSG00000196277",1007.6
"ENSG00000038427",1008
"ENSG00000287862",1011.6
"ENSG00000196639",1013.2
"ENSG00000081189",1013.2
"ENSG00000248323",1015.8
"ENSG00000131386",1017.4
"ENSG00000249776",1019
"ENSG00000237187",1020
"ENSG00000175745",1021
"ENSG00000175471",1023.2
"ENSG00000250331",1026.8
"ENSG00000113532",1030.2
"ENSG00000145730",1031.6
"ENSG00000172995",1033.4
"ENSG00000184349",1033.6
"ENSG00000144681",1034.2
"ENSG00000186952",1035
"ENSG00000168038",1035.6
"ENSG00000170011",1035.6
"ENSG00000152495",1036
"ENSG00000129595",1038.4
"ENSG00000232633",1039.8
"ENSG00000163814",1042.2
"ENSG00000249797",1045.6
"ENSG00000163947",1047.2
"ENSG00000145779",1047.8
"ENSG00000184838",1049
"ENSG00000248752",1053.6
"ENSG00000173926",1055
"ENSG00000064651",1057
"ENSG00000138829",1058
"ENSG00000114541",1059.4
"ENSG00000242741",1059.4
"ENSG00000198108",1060.2
"ENSG00000243694",1062.4
"ENSG00000239462",1067.2
"ENSG00000287378",1071.4
"ENSG00000145819",1071.4
"ENSG00000144815",1071.8
"ENSG00000183775",1073.2
"ENSG00000186314",1075.2
"ENSG00000239828",1076
"ENSG00000156463",1076.2
"ENSG00000156475",1077.2
"ENSG00000243701",1077.8
"ENSG00000113657",1078.2
"ENSG00000114487",1080.6
"ENSG00000157510",1081.6
"ENSG00000249669",1082.6
"ENSG00000019582",1085.6
"ENSG00000240057",1087.8
"ENSG00000113140",1088.2
"ENSG00000144857",1088.6
"ENSG00000170624",1091.2
"ENSG00000145850",1092.2
"ENSG00000239268",1092.4
"ENSG00000113263",1093.8
"ENSG00000144847",1094.4
"ENSG00000164330",1096.6
"ENSG00000254186",1099.6
"ENSG00000036828",1101
"ENSG00000184347",1103
"ENSG00000134516",1104
"ENSG00000144908",1104
"ENSG00000043462",1106
"ENSG00000182132",1107
"ENSG00000094755",1108.6
"ENSG00000204764",1109.6
"ENSG00000072786",1110.6
"ENSG00000120756",1112.2
"ENSG00000214357",1112.6
"ENSG00000113749",1114.8
"ENSG00000243415",1116.2
"ENSG00000152952",1116.4
"ENSG00000050767",1117.6
"ENSG00000163710",1118.2
"ENSG00000087116",1119
"ENSG00000113303",1122
"ENSG00000144891",1122.4
"ENSG00000165810",1123
"ENSG00000137265",1124
"ENSG00000124491",1128.6
"ENSG00000244265",1128.8
"ENSG00000174946",1130.2
"ENSG00000153162",1130.8
"ENSG00000169313",1132.2
"ENSG00000178053",1134.4
"ENSG00000111859",1135.4
"ENSG00000111863",1136.4
"ENSG00000112137",1138.6
"ENSG00000197415",1138.8
"ENSG00000112149",1139.8
"ENSG00000137393",1142.2
"ENSG00000174776",1143
"ENSG00000124766",1145.4
"ENSG00000272168",1146.4
"ENSG00000154310",1147.2
"ENSG00000114346",1149.4
"ENSG00000146038",1149.4
"ENSG00000111913",1151
"ENSG00000285801",1152.8
"ENSG00000079691",1153.8
"ENSG00000204301",1160.2
"ENSG00000073803",1162
"ENSG00000113946",1167
"ENSG00000064999",1167.4
"ENSG00000114315",1168.6
"ENSG00000146192",1170.4
"ENSG00000145014",1174.6
"ENSG00000112576",1175.2
"ENSG00000124496",1176.4
"ENSG00000152953",1177.2
"ENSG00000124813",1178.6
"ENSG00000172348",1180.2
"ENSG00000250634",1180.4
"ENSG00000146070",1181.6
"ENSG00000248360",1182
"ENSG00000069122",1182.6
"ENSG00000146072",1184
"ENSG00000244694",1185.2
"ENSG00000109805",1187.8
"ENSG00000170927",1188
"ENSG00000137269",1191.6
"ENSG00000146147",1192.6
"ENSG00000112175",1195.4
"ENSG00000124749",1196.4
"ENSG00000112232",1198.8
"ENSG00000109814",1199.2
"ENSG00000135298",1201.2
"ENSG00000196581",1201.6
"ENSG00000064042",1203.4
"ENSG00000284693",1204
"ENSG00000185760",1204.2
"ENSG00000285454",1204.6
"ENSG00000124406",1205.6
"ENSG00000223786",1207
"ENSG00000159339",1207.4
"ENSG00000111799",1208.2
